n	first	val
335	-	99045
336	-	95910
337	-	91869
338	-	88032
339	-	87843
340	-	81217
341	-	83692
342	-	86376
343	-	91016
344	-	93996
345	-	96118
346	-	96607
347	-	98185
348	-	98532
349	-	95900
350	-	91344
351	-	89784
352	-	87465
353	-	86765
354	-	84249
355	-	83412
356	-	81250
357	-	79625
358	-	77736
359	-	78540
360	-	78725
361	-	79464
362	-	84109
363	-	86878
364	-	92232
365	-	96831
366	-	100392
367	-	102544
368	-	106500
369	-	104251
370	-	103408
371	-	102388
372	-	97504
373	-	95425
374	-	90998
375	-	93074
376	-	88452
377	-	90750
378	-	95370
379	-	96768
380	-	98888
381	-	98625
382	-	100740
383	-	98766
384	-	94037
385	-	89604
386	-	88140
387	-	86430
388	-	84224
389	-	81750
390	-	79458
391	-	78228
392	-	75915
393	-	73944
394	-	74340
395	-	73644
396	-	76328
397	-	77970
398	-	83776
399	-	87360
400	-	94234
401	-	96512
402	-	100435
403	-	104250
404	-	102582
405	-	102760
406	-	100161
407	-	96174
408	-	92996
409	-	88320
410	-	90024
411	-	86154
412	-	87330
413	-	91113
414	-	94376
415	-	97660
416	-	98800
417	-	100659
418	-	101283
419	-	100879
420	-	95121
421	-	91176
422	-	89080
423	-	86580
424	-	84039
425	-	80750
426	-	79818
427	-	76638
428	-	75922
429	-	75670
430	-	75999
431	-	77822
432	-	80948
433	-	85910
434	-	90155
435	-	95232
436	-	97782
437	-	101840
438	-	105183
439	-	103880
440	-	103970
441	-	101802
442	-	97350
443	-	94579
444	-	89436
445	-	91581
446	-	87250
447	-	88893
448	-	92232
449	-	96012
450	-	98814
451	-	100466
452	-	101840
453	-	103224
454	-	102366
455	-	97270
456	-	92839
457	-	91425
458	-	88894
459	-	86320
460	-	82984
461	-	81788
462	-	78324
463	-	77361
464	-	76874
465	-	77315
466	431	77822
467	432	80948
468	433	85910
469	434	90155
470	435	95232
471	436	97782
472	437	101840
473	438	105183
474	439	103880
475	440	103970
476	441	101802
477	442	97350
478	443	94579
479	444	89436
480	445	91581
481	446	87250
482	447	88893
483	448	92232
484	449	96012
485	450	98814
486	451	100466
487	452	101840
488	453	103224
489	454	102366
490	455	97270
491	456	92839
492	457	91425
493	458	88894
494	459	86320
495	460	82984
496	461	81788
497	462	78324
498	463	77361
499	464	76874
500	465	77315
501	431	77822
502	432	80948
503	433	85910
504	434	90155
505	435	95232
506	436	97782
507	437	101840
508	438	105183
509	439	103880
510	440	103970
511	441	101802
512	442	97350
513	443	94579
514	444	89436
515	445	91581
516	446	87250
517	447	88893
518	448	92232
519	449	96012
520	450	98814
521	451	100466
522	452	101840
523	453	103224
524	454	102366
525	455	97270
526	456	92839
527	457	91425
528	458	88894
529	459	86320
530	460	82984
531	461	81788
532	462	78324
533	463	77361
534	464	76874
535	465	77315
536	431	77822
537	432	80948
538	433	85910
539	434	90155
540	435	95232
541	436	97782
542	437	101840
543	438	105183
544	439	103880
545	440	103970
546	441	101802
547	442	97350
548	443	94579
549	444	89436
550	445	91581
551	446	87250
552	447	88893
553	448	92232
554	449	96012
555	450	98814
556	451	100466
557	452	101840
558	453	103224
559	454	102366
560	455	97270
561	456	92839
562	457	91425
563	458	88894
564	459	86320
565	460	82984
566	461	81788
567	462	78324
568	463	77361
569	464	76874
570	465	77315
571	431	77822
572	432	80948
573	433	85910
574	434	90155
575	435	95232
576	436	97782
577	437	101840
578	438	105183
579	439	103880
580	440	103970
581	441	101802
582	442	97350
583	443	94579
584	444	89436
585	445	91581
586	446	87250
587	447	88893
588	448	92232
589	449	96012
590	450	98814
591	451	100466
592	452	101840
593	453	103224
594	454	102366
595	455	97270
596	456	92839
597	457	91425
598	458	88894
599	459	86320
600	460	82984
601	461	81788
602	462	78324
603	463	77361
604	464	76874
605	465	77315
606	431	77822
607	432	80948
608	433	85910
609	434	90155
610	435	95232
611	436	97782
612	437	101840
613	438	105183
614	439	103880
615	440	103970
616	441	101802
617	442	97350
618	443	94579
619	444	89436
620	445	91581
621	446	87250
622	447	88893
623	448	92232
624	449	96012
625	450	98814
626	451	100466
627	452	101840
628	453	103224
629	454	102366
630	455	97270
631	456	92839
632	457	91425
633	458	88894
634	459	86320
635	460	82984
636	461	81788
637	462	78324
638	463	77361
639	464	76874
640	465	77315
641	431	77822
642	432	80948
643	433	85910
644	434	90155
645	435	95232
646	436	97782
647	437	101840
648	438	105183
649	439	103880
650	440	103970
651	441	101802
652	442	97350
653	443	94579
654	444	89436
655	445	91581
656	446	87250
657	447	88893
658	448	92232
659	449	96012
660	450	98814
661	451	100466
662	452	101840
663	453	103224
664	454	102366
665	455	97270
666	456	92839
667	457	91425
668	458	88894
669	459	86320
670	460	82984
671	461	81788
672	462	78324
673	463	77361
674	464	76874
675	465	77315
676	431	77822
677	432	80948
678	433	85910
679	434	90155
680	435	95232
681	436	97782
682	437	101840
683	438	105183
684	439	103880
685	440	103970
686	441	101802
687	442	97350
688	443	94579
689	444	89436
690	445	91581
691	446	87250
692	447	88893
693	448	92232
694	449	96012
695	450	98814
696	451	100466
697	452	101840
698	453	103224
699	454	102366
700	455	97270
701	456	92839
702	457	91425
703	458	88894
704	459	86320
705	460	82984
706	461	81788
707	462	78324
708	463	77361
709	464	76874
710	465	77315
711	431	77822
712	432	80948
713	433	85910
714	434	90155
715	435	95232
716	436	97782
717	437	101840
718	438	105183
719	439	103880
720	440	103970
721	441	101802
722	442	97350
723	443	94579
724	444	89436
725	445	91581
726	446	87250
727	447	88893
728	448	92232
729	449	96012
730	450	98814
731	451	100466
732	452	101840
733	453	103224
734	454	102366
735	455	97270
736	456	92839
737	457	91425
738	458	88894
739	459	86320
740	460	82984
741	461	81788
742	462	78324
743	463	77361
744	464	76874
745	465	77315
746	431	77822
747	432	80948
748	433	85910
749	434	90155
750	435	95232
751	436	97782
752	437	101840
753	438	105183
754	439	103880
755	440	103970
756	441	101802
757	442	97350
758	443	94579
759	444	89436
760	445	91581
761	446	87250
762	447	88893
763	448	92232
764	449	96012
765	450	98814
766	451	100466
767	452	101840
768	453	103224
769	454	102366
770	455	97270
771	456	92839
772	457	91425
773	458	88894
774	459	86320
775	460	82984
776	461	81788
777	462	78324
778	463	77361
779	464	76874
780	465	77315
781	431	77822
782	432	80948
783	433	85910
784	434	90155
785	435	95232
786	436	97782
787	437	101840
788	438	105183
789	439	103880
790	440	103970
791	441	101802
792	442	97350
793	443	94579
794	444	89436
795	445	91581
796	446	87250
797	447	88893
798	448	92232
799	449	96012
800	450	98814
801	451	100466
802	452	101840
803	453	103224
804	454	102366
805	455	97270
806	456	92839
807	457	91425
808	458	88894
809	459	86320
810	460	82984
811	461	81788
812	462	78324
813	463	77361
814	464	76874
815	465	77315
816	431	77822
817	432	80948
818	433	85910
819	434	90155
820	435	95232
821	436	97782
822	437	101840
823	438	105183
824	439	103880
825	440	103970
826	441	101802
827	442	97350
828	443	94579
829	444	89436
830	445	91581
831	446	87250
832	447	88893
833	448	92232
834	449	96012
835	450	98814
836	451	100466
837	452	101840
838	453	103224
839	454	102366
840	455	97270
841	456	92839
842	457	91425
843	458	88894
844	459	86320
845	460	82984
846	461	81788
847	462	78324
848	463	77361
849	464	76874
850	465	77315
851	431	77822
852	432	80948
853	433	85910
854	434	90155
855	435	95232
856	436	97782
857	437	101840
858	438	105183
859	439	103880
860	440	103970
861	441	101802
862	442	97350
863	443	94579
864	444	89436
865	445	91581
866	446	87250
867	447	88893
868	448	92232
869	449	96012
870	450	98814
871	451	100466
872	452	101840
873	453	103224
874	454	102366
875	455	97270
876	456	92839
877	457	91425
878	458	88894
879	459	86320
880	460	82984
881	461	81788
882	462	78324
883	463	77361
884	464	76874
885	465	77315
886	431	77822
887	432	80948
888	433	85910
889	434	90155
890	435	95232
891	436	97782
892	437	101840
893	438	105183
894	439	103880
895	440	103970
896	441	101802
897	442	97350
898	443	94579
899	444	89436
900	445	91581
901	446	87250
902	447	88893
903	448	92232
904	449	96012
905	450	98814
906	451	100466
907	452	101840
908	453	103224
909	454	102366
910	455	97270
911	456	92839
912	457	91425
913	458	88894
914	459	86320
915	460	82984
916	461	81788
917	462	78324
918	463	77361
919	464	76874
920	465	77315
921	431	77822
922	432	80948
923	433	85910
924	434	90155
925	435	95232
926	436	97782
927	437	101840
928	438	105183
929	439	103880
930	440	103970
931	441	101802
932	442	97350
933	443	94579
934	444	89436
935	445	91581
936	446	87250
937	447	88893
938	448	92232
939	449	96012
940	450	98814
941	451	100466
942	452	101840
943	453	103224
944	454	102366
945	455	97270
946	456	92839
947	457	91425
948	458	88894
949	459	86320
950	460	82984
951	461	81788
952	462	78324
953	463	77361
954	464	76874
955	465	77315
956	431	77822
957	432	80948
958	433	85910
959	434	90155
960	435	95232
961	436	97782
962	437	101840
963	438	105183
964	439	103880
965	440	103970
966	441	101802
967	442	97350
968	443	94579
969	444	89436
970	445	91581
971	446	87250
972	447	88893
973	448	92232
974	449	96012
975	450	98814
976	451	100466
977	452	101840
978	453	103224
979	454	102366
980	455	97270
981	456	92839
982	457	91425
983	458	88894
984	459	86320
985	460	82984
986	461	81788
987	462	78324
988	463	77361
989	464	76874
990	465	77315
991	431	77822
992	432	80948
993	433	85910
994	434	90155
995	435	95232
996	436	97782
997	437	101840
998	438	105183
999	439	103880
